"runtime_execution_id","runtime_id","execution_date","status","degraded_flag"
"RTX-forecast-202501","rt_jazan_service_rnn_forecast","2025-01-01","succeeded","false"
"RTX-forecast-202502","rt_jazan_service_rnn_forecast","2025-02-01","succeeded","false"
"RTX-forecast-202503","rt_jazan_service_rnn_forecast","2025-03-01","succeeded","false"
"RTX-forecast-202504","rt_jazan_service_rnn_forecast","2025-04-01","succeeded","false"
"RTX-forecast-202505","rt_jazan_service_rnn_forecast","2025-05-01","succeeded","false"
"RTX-forecast-202506","rt_jazan_service_rnn_forecast","2025-06-01","succeeded","false"
"RTX-forecast-202507","rt_jazan_service_rnn_forecast","2025-07-01","succeeded","false"
"RTX-forecast-202508","rt_jazan_service_rnn_forecast","2025-08-01","succeeded","false"
"RTX-forecast-202509","rt_jazan_service_rnn_forecast","2025-09-01","succeeded","false"
"RTX-forecast-202510","rt_jazan_service_rnn_forecast","2025-10-01","succeeded","false"
"RTX-forecast-202511","rt_jazan_service_rnn_forecast","2025-11-01","succeeded","false"
"RTX-forecast-202512","rt_jazan_service_rnn_forecast","2025-12-01","succeeded","false"
"RTX-forecast-202601","rt_jazan_service_rnn_forecast","2026-01-01","succeeded","false"
"RTX-forecast-202602","rt_jazan_service_rnn_forecast","2026-02-01","succeeded","false"
"RTX-forecast-202603","rt_jazan_service_rnn_forecast","2026-03-01","succeeded","false"
"RTX-forecast-202604","rt_jazan_service_rnn_forecast","2026-04-01","succeeded","false"
"RTX-forecast-202605","rt_jazan_service_rnn_forecast","2026-05-01","succeeded","false"
"RTX-forecast-202606","rt_jazan_service_rnn_forecast","2026-06-01","succeeded","false"
"RTX-anomaly-202501","rt_jazan_service_anomaly","2025-01-01","succeeded","false"
"RTX-anomaly-202502","rt_jazan_service_anomaly","2025-02-01","succeeded","false"
"RTX-anomaly-202503","rt_jazan_service_anomaly","2025-03-01","succeeded","false"
"RTX-anomaly-202504","rt_jazan_service_anomaly","2025-04-01","succeeded","false"
"RTX-anomaly-202505","rt_jazan_service_anomaly","2025-05-01","succeeded","false"
"RTX-anomaly-202506","rt_jazan_service_anomaly","2025-06-01","succeeded","false"
"RTX-anomaly-202507","rt_jazan_service_anomaly","2025-07-01","succeeded","false"
"RTX-anomaly-202508","rt_jazan_service_anomaly","2025-08-01","succeeded","false"
"RTX-anomaly-202509","rt_jazan_service_anomaly","2025-09-01","succeeded","false"
"RTX-anomaly-202510","rt_jazan_service_anomaly","2025-10-01","succeeded","false"
"RTX-anomaly-202511","rt_jazan_service_anomaly","2025-11-01","succeeded","false"
"RTX-anomaly-202512","rt_jazan_service_anomaly","2025-12-01","succeeded","false"
"RTX-anomaly-202601","rt_jazan_service_anomaly","2026-01-01","succeeded","false"
"RTX-anomaly-202602","rt_jazan_service_anomaly","2026-02-01","succeeded","false"
"RTX-anomaly-202603","rt_jazan_service_anomaly","2026-03-01","succeeded","false"
"RTX-anomaly-202604","rt_jazan_service_anomaly","2026-04-01","succeeded","false"
"RTX-anomaly-202605","rt_jazan_service_anomaly","2026-05-01","succeeded","false"
"RTX-anomaly-202606","rt_jazan_service_anomaly","2026-06-01","succeeded","false"
"RTX-candidate-202501","rt_jazan_decision_candidate","2025-01-01","succeeded","false"
"RTX-candidate-202502","rt_jazan_decision_candidate","2025-02-01","succeeded","false"
"RTX-candidate-202503","rt_jazan_decision_candidate","2025-03-01","succeeded","false"
"RTX-candidate-202504","rt_jazan_decision_candidate","2025-04-01","retry_succeeded","true"
"RTX-candidate-202505","rt_jazan_decision_candidate","2025-05-01","succeeded","false"
"RTX-candidate-202506","rt_jazan_decision_candidate","2025-06-01","succeeded","false"
"RTX-candidate-202507","rt_jazan_decision_candidate","2025-07-01","succeeded","false"
"RTX-candidate-202508","rt_jazan_decision_candidate","2025-08-01","succeeded","false"
"RTX-candidate-202509","rt_jazan_decision_candidate","2025-09-01","succeeded","false"
"RTX-candidate-202510","rt_jazan_decision_candidate","2025-10-01","succeeded","false"
"RTX-candidate-202511","rt_jazan_decision_candidate","2025-11-01","succeeded","false"
"RTX-candidate-202512","rt_jazan_decision_candidate","2025-12-01","succeeded","false"
"RTX-candidate-202601","rt_jazan_decision_candidate","2026-01-01","succeeded","false"
"RTX-candidate-202602","rt_jazan_decision_candidate","2026-02-01","succeeded","false"
"RTX-candidate-202603","rt_jazan_decision_candidate","2026-03-01","succeeded","false"
"RTX-candidate-202604","rt_jazan_decision_candidate","2026-04-01","retry_succeeded","true"
"RTX-candidate-202605","rt_jazan_decision_candidate","2026-05-01","succeeded","false"
"RTX-candidate-202606","rt_jazan_decision_candidate","2026-06-01","succeeded","false"
